c_0001;ALTER;GESCHLECHT;BILDUNG;LAND;LAND_2;BLUTSPENDEVERHALTEN;BLUTSPENDEORGANISATION;BLUTSPENDEORGANISATION_2;AMOTIVATION_1;AMOTIVATION_2;AMOTIVATION_3;EXTERNAL_REGULATION_1;EXTERNAL_REGULATION_2;EXTERNAL_REGULATION_3;INTROJECTED_REGULATION_1;INTROJECTED_REGULATION_2;ATTENTION_CHECK;INTROJECTED_REGULATION_3;IDENTIFIED_REGUALTION_1;IDENTIFIED_REGUALTION_2;IDENTIFIED_REGUALTION_3;INTEGRATED_REGULATION_1;INTEGRATED_REGULATION_2;INTEGRATED_REGULATION_3;INTRINSIC_REGUALTION_1;INTRINSIC_REGUALTION_2;INTRINSIC_REGUALTION_3;INTENTION_1;INTENTION_2;INTENTION_3;;;;;;;;;;;;;;;;;;
1;26;1;6;1;-99;1;1;-99;1;5;4;1;5;4;5;5;1;7;6;7;7;7;5;7;6;6;5;7;7;7;;;;;;;;;;;;;;;;;;
2;50;2;7;1;-99;1;1;-99;1;1;1;2;5;1;4;5;1;7;7;7;7;6;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
3;34;1;3;1;-99;1;1;-99;1;1;1;1;2;1;4;4;1;4;7;7;7;7;5;7;7;7;4;7;7;7;;;;;;;;;;;;;;;;;;
1;31;1;4;1;-99;1;4;Universitätsklinikum Hamburg Eppendorf ;1;3;2;5;2;2;3;5;1;4;6;7;6;5;4;6;4;5;3;7;7;7;;;;;;;;;;;;;;;;;;
1;29;1;2;1;-99;1;1;-99;1;4;1;1;1;1;3;4;1;7;7;7;7;7;7;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
3;28;1;6;1;-99;1;1;-99;1;2;1;2;6;3;2;2;1;7;6;6;7;6;7;6;6;6;6;7;7;7;;;;;;;;;;;;;;;;;;
1;51;1;2;1;-99;1;1;-99;1;1;1;1;2;1;1;7;1;7;7;7;7;7;6;7;7;6;6;7;7;7;;;;;;;;;;;;;;;;;;
2;43;1;4;1;-99;1;1;-99;1;1;1;1;1;1;7;7;1;7;6;7;7;6;6;7;7;7;6;7;7;7;;;;;;;;;;;;;;;;;;
3;32;1;3;1;-99;1;1;-99;1;1;7;1;1;1;4;6;1;7;7;7;7;7;5;7;7;7;6;7;7;7;;;;;;;;;;;;;;;;;;
2;26;2;7;1;-99;1;1;-99;1;2;1;1;5;1;5;4;1;5;7;6;7;6;6;7;6;7;5;7;7;7;;;;;;;;;;;;;;;;;;
2;28;1;3;1;-99;1;1;-99;1;3;7;1;3;1;7;4;1;7;7;7;7;7;5;7;6;7;6;7;7;7;;;;;;;;;;;;;;;;;;
3;54;1;2;1;-99;1;1;-99;1;1;1;1;1;1;1;1;1;1;7;7;7;7;4;4;7;4;7;7;7;7;;;;;;;;;;;;;;;;;;
1;41;1;4;1;-99;1;1;-99;1;2;7;1;2;2;4;4;1;3;6;7;7;7;7;7;6;4;5;3;3;3;;;;;;;;;;;;;;;;;;
2;46;1;4;1;-99;1;1;-99;1;1;1;1;1;1;7;7;1;7;7;7;7;7;6;7;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
1;41;1;6;1;-99;1;1;-99;1;5;2;2;5;3;2;3;1;4;4;7;5;4;5;3;5;5;3;2;3;2;;;;;;;;;;;;;;;;;;
3;34;2;4;1;-99;1;1;-99;1;6;7;4;3;1;2;3;1;4;5;7;6;4;4;4;6;4;4;7;7;7;;;;;;;;;;;;;;;;;;
1;32;2;2;1;-99;1;1;-99;1;2;1;2;4;3;5;5;1;6;7;7;7;7;6;5;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;
1;38;2;2;1;-99;1;1;-99;1;4;1;1;1;2;1;5;1;4;7;7;7;7;5;7;7;7;6;7;7;7;;;;;;;;;;;;;;;;;;
3;22;2;4;1;-99;1;4;Haema ;1;5;2;5;1;2;1;1;1;1;2;7;6;2;2;2;2;4;2;5;5;5;;;;;;;;;;;;;;;;;;
2;43;2;3;1;-99;1;1;-99;1;2;7;2;6;3;6;4;1;4;6;7;7;7;4;6;7;5;7;7;7;7;;;;;;;;;;;;;;;;;;
2;58;2;7;1;-99;1;1;-99;1;4;2;1;1;2;1;1;1;4;6;7;6;5;5;6;7;4;6;7;7;7;;;;;;;;;;;;;;;;;;
3;46;1;3;1;-99;1;1;-99;3;5;1;3;4;1;1;1;1;1;3;5;5;1;1;1;4;3;2;5;2;5;;;;;;;;;;;;;;;;;;
